Name,Publisher,Designer,Small or Sell?,Overall Rank,BGG Rating,Year,Weight
Godfather Last Family Standing,,,Small,-,6.7,2022,2
Century Golem 3 An Endless World,,,,1595,7.6,2020,2
Coralia,,,,6559,6.5,2019,2
Thanos Rising,,,,1686,7.1,2018,2
Dragons Interest,,,KS,15442,7.1,2018,2
Munchkin TMNT,,,,7873,7,2018,2
Nickelodeon Splat Attack,,,KS,11707,6.8,2018,2
Bionicle Quest for Makuta,,,Protected,25310,4.2,2001,2
DC Deck Building Game / Expansions,,,,989,7,2012,1.99
Unmatched,,,,894,8.3,2019,1.98
Takenoko,,,,364,7.2,2011,1.98
Armadora,,,,4471,6.3,2003,1.97
Scotland Yard,,,,1517,6.5,1983,1.95
Colossal Cat in the Box,,,KS,3476,7.2,2020,1.94
Sobek (2 Player),,,,1619,7.2,2021,1.93
Star Wars Dark Side Rising,,,,4490,7.1,2019,1.91
Ragnarocks,,,KS,3995,7.1,2022,1.9
Destinies,,,,333,7.8,2021,1.9
Terror Below,,,KS,2828,6.7,2019,1.9
Marvel Remix,,,,1455,7.5,2022,1.89
Hail Hydra,,,,3419,6.5,2018,1.89
Pandemic Contagion,,,,2537,6.4,2014,1.89
Batman Everybody Lies,,,,7608,6.7,2022,1.88
Pokémon Master Trainer,,,,9200,5.9,1999,1.88
King of New York,,,,836,6.9,2014,1.86
Boss Monster,,,,2397,6.3,2013,1.85
Splendor: Marvel,,,,629,7.6,2020,1.83
Oceanos,,,,1637,6.8,2016,1.83
Colt Express (Big Box),,,,480,7.1,2014,1.83
Ticket to Ride,,,,229,7.4,2004,1.83
Marvel United/X-Men,,,KS,292,7.6,2020,1.82
Star Wars Unlock,,,,1372,7.1,2020,1.82
7 Summits,,,,9926,6.5,2021,1.8
Abyss Conspiracy,,,,1126,7.3,2019,1.78
Fairy Tale,,,,1228,6.7,2004,1.77
The Resistance Avalon,,,,186,7.5,2012,1.74
Nefarious,,,,3374,6.3,2011,1.74
Forbidden Island,,,,900,6.8,2010,1.74
Silver Bullet,,,,2998,7.3,2019,1.73
Downforce/Danger Circuit/Wild Ride,,,,396,7.3,2017,1.73
Bob Ross Art of Chill,,,,2035,6.8,2017,1.73
